"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
-4360,0,0,"New Zealand",-30.2,-178.47,238,"Caldera","Holocene","U",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4350,0,0,"Japan",30.78,130.28,717,"Caldera","Historical","D1",7,NA,3,NA,NA,NA,NA,NA,3,NA,3
-4050,0,0,"Nicaragua",11.984,-86.161,635,"Caldera","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4000,0,0,"Papua New Guinea",-5.58,150.52,742,"Caldera","Historical","D2",6,NA,1,NA,NA,NA,NA,NA,1,NA,NA
-3580,0,0,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3550,0,0,"Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2040,0,0,"Papua New Guinea",-5.358,147.12,1280,"Complex volcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1900,0,0,"United States",56.53,-158.8,1032,"Stratovolcano","Radiocarbon","D7",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1890,0,0,"Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1860,0,0,"United States",46.2,-122.18,2549,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1750,0,0,"United States",56.17,-159.38,2507,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1645,0,0,"United States",56.88,-158.17,1341,"Caldera","Historical","D2",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1610,1,1,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1550,1,0,"United States",60.48,-152.75,3108,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1460,0,0,"New Zealand",-38.82,176,760,"Caldera","Radiocarbon","D6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1370,0,0,"Papua New Guinea",-5.58,150.52,742,"Caldera","Historical","D2",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1050,0,0,"Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-250,0,0,"New Zealand",-29.27,-177.92,516,"Stratovolcano","Historical","D1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-197,1,0,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,0,0,"Papua New Guinea",-2.38,147.35,270,"Complex volcano","Historical","D2",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-141,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA
